title,location,bedrooms,bathrooms,garage,price,size,listing_type,source,price_per_sqm,total_rooms,size_category,prop_apartment,prop_house,prop_other,property_type
3-BEDROOM APARTMENT,Bausher,3.0,3.0,2.0,45000.0,37.1612,For Sale,hilal,1210.9404432580218,6.0,Tiny,True,False,False,apartment
3-BEDROOM VILLA,Al Mawaleh,4.0,3.0,2.0,290000.0,37.1612,For Sale,hilal,7803.838412107251,7.0,Tiny,False,True,False,house
6-BEDROOM TWIN VILLA,Bausher,7.0,3.0,2.0,180000.0,37.1612,For Sale,hilal,4843.761773032087,10.0,Tiny,False,True,False,house
7-BEDROOM DETACHED VILLA,Al Ansab,7.0,3.0,2.0,292075.0,70.420474,For Sale,hilal,4147.586396535758,10.0,Tiny,False,True,False,house
4-BEDROOM DETACHED VILLA,Al Hail,6.0,3.0,2.0,80000.0,37.1612,For Sale,hilal,2152.7830102364833,9.0,Tiny,False,True,False,house
5-BEDROOM TWIN VILLA,Al Ansab,7.0,3.0,2.0,700.0,37.1612,"For Rent, For Sale",hilal,18.83685133956923,10.0,Tiny,False,True,False,house
7-BEDROOM TWIN VILLA,Unknown,7.0,3.0,2.0,105000.0,53.233419,For Sale,hilal,1972.4451664470396,10.0,Tiny,False,True,False,house
6+1 BEDROOM DETACHED VILLA,Bausher,7.0,3.0,2.0,180.0,37.1612,For Sale,hilal,4.843761773032087,10.0,Tiny,False,True,False,house
4+1 BEDROOM COMPOUND VILLA,Al Khoudh,5.0,3.0,2.0,80000.0,24.15478,For Sale,hilal,3311.973861902282,8.0,Tiny,False,True,False,house
7-BEDROOM DETACHED VILLA,Al Ansab,7.0,3.0,2.0,220.0,37.1612,For Sale,hilal,5.9201532781503285,10.0,Tiny,False,True,False,house
4+1 TWIN VILLA,Shatti Al Qurum,5.0,3.0,2.0,1000.0,37.1612,"For Rent, For Sale",hilal,26.90978762795604,8.0,Tiny,False,True,False,house
6 BEDROOM DETACHED VILLA,Maabelah,7.0,3.0,2.0,200000.0,37.1612,For Sale,hilal,5381.957525591208,10.0,Tiny,False,True,False,house
3BEDROOM FURNISHED TWIN VILLA IN (AL KHOUD),Al Khoudh,4.0,3.0,2.0,105000.0,27.8709,For Sale,hilal,3767.370267913846,7.0,Tiny,False,True,False,house
FARM LAND FOR SALE IN (BARKA),Barka,3.0,3.0,2.0,170000.0,125.00098650000001,For Sale,hilal,1359.989266964705,6.0,Small,False,False,True,other
FARM LAND FOR SALE IN (BARKA),Barka,3.0,3.0,2.0,140000.0,125.00098650000001,For Sale,hilal,1119.991161029757,6.0,Small,False,False,True,other
