Title,Location,Bedrooms,Bathrooms,Garage,Price,Size,Listing_Type
Luxury Apartment|Mouj Muscat |Freehold Ownership|Permanent Residency,"The Wave (Almouj), Muscat•",1,2,Not specified,"OMR 125,000Freehold",110 SQM,For Sale
5 BR Spacious Villa in Azaiba Nearby Amenities,"Azaiba, Muscat•",5,4,Not specified,"OMR 197,000Non Freehold",600 SQM,For Sale
Two Bedroom Seaview Apartment at Mandarin Oriental Muscat,"Qurum, Muscat•",2,3,Not specified,"OMR 405,000Freehold",131 SQM,For Sale
Villa for Sale (Garden) - Sea View,"Yiti, Muscat•",4,6,Not specified,"OMR 517,000Negotiable",506 SQM,For Sale
Apartment for sale in Muscat- شقة للبيع في مسقط,"Yiti, Muscat•",1,2,Not specified,"OMR 87,000Negotiable",79 SQM,For Sale
"Luxury Sea View Apartment for Sale – Juman 2, Al Mouj, Muscat","The Wave (Almouj), Muscat•",2,3,Not specified,"OMR 215,000Freehold",145 SQM,For Sale
3 + 1 Fully Furnished Villa for Sale in Al Khoud with Garden & Pool,"Al Khoud, Muscat•",3,4,Not specified,"OMR 150,000Non Freehold",768 SQM,For Sale
‎فيلا جديده راقيه للبيع في المعبيلة الثالثة,"Al Maabilah, Muscat•",6,6,Not specified,"OMR 120,000Non Freehold",408 SQM,For Sale
أرض للبيع خمس اراضي زراعية مساحة كل منهن 16800 متر مربع في ولاية بركاء,"Barka, Al Batinah•",Not specified,Not specified,Not specified,"OMR 350,000Negotiable","16,800 SQM",For Sale
أرض للبيع او الاستثمار بناية سكنيه تجارية,"Al Buraimi, Al Buraimi•",Not specified,Not specified,Not specified,"OMR 250,000Negotiable",547 SQM,For Sale
ارض للبيع سكني تجاري في غلاء - Land for sale in Ghala,"Ghala, Muscat•",Not specified,Not specified,Not specified,OMR 500Negotiable,"2,934 SQM",For Sale
فيلا راقيه للبيع في الخوض السادسه,"Al Khoud, Muscat•",9,10,Not specified,"OMR 285,000Non Freehold",614 SQM,For Sale
الأرض للبيع مساحه ٢١٠٨ م,"Barka, Al Batinah•",Not specified,Not specified,Not specified,"OMR 50,000","2,108 SQM",For Sale
"شقة للبيع في جبل سيفة  Apartment for Sale with Direct sea view, Sifah","Al Sifah, Muscat•",2,2,Not specified,"OMR 95,000Freehold",124 SQM,For Sale
"ADVS1501** New Villa, Modern And Well Designed 4 BHK Villa For Sale in","Al Amarat, Muscat•",4,6,Not specified,"OMR 98,000Non Freehold",195 SQM,For Sale
2Bedroom Lake View Apartment for Sale in Hawana Salalah,"Salalah, Dhofar•",2,2,Not specified,"OMR 85,000Freehold",120 SQM,For Sale
Furnished 1-Bedroom Apartment for Sale in Hawana Salalah – Pool View,"Salalah, Dhofar•",1,1,Not specified,"OMR 50,000Freehold",55 SQM,For Sale
2BHK Penthouse Apartment with Stunning View – For Sale in Jebel Sifah,"Al Sifah, Muscat•",2,2,Not specified,"OMR 95,000Freehold",129 SQM,For Sale
"فيلا للبيع في مدينة السلطان هيثم | Villa For Sale, Sultan Haitham City","Al Seeb, Muscat•",4,3,Not specified,"OMR 175,000Freehold",333 SQM,For Sale
شقق للبيع في مدينة السلطان هيثم  Apartments for Sale in Sultan Haitham,"Sultan Haitham City, Muscat•",1,1,Not specified,"OMR 53,922Freehold",67 SQM,For Sale
"Luxury Sea View Apartment for Sale – Juman 2, Al Mouj, Muscat","The Wave (Almouj), Muscat•",2,3,Not specified,"OMR 215,000Freehold",145 SQM,For Sale
3 + 1 Fully Furnished Villa for Sale in Al Khoud with Garden & Pool,"Al Khoud, Muscat•",3,4,Not specified,"OMR 150,000Non Freehold",768 SQM,For Sale
‎فيلا جديده راقيه للبيع في المعبيلة الثالثة,"Al Maabilah, Muscat•",6,6,Not specified,"OMR 120,000Non Freehold",408 SQM,For Sale
أرض للبيع خمس اراضي زراعية مساحة كل منهن 16800 متر مربع في ولاية بركاء,"Barka, Al Batinah•",Not specified,Not specified,Not specified,"OMR 350,000Negotiable","16,800 SQM",For Sale
أرض للبيع او الاستثمار بناية سكنيه تجارية,"Al Buraimi, Al Buraimi•",Not specified,Not specified,Not specified,"OMR 250,000Negotiable",547 SQM,For Sale
ارض للبيع سكني تجاري في غلاء - Land for sale in Ghala,"Ghala, Muscat•",Not specified,Not specified,Not specified,OMR 500Negotiable,"2,934 SQM",For Sale
فيلا راقيه للبيع في الخوض السادسه,"Al Khoud, Muscat•",9,10,Not specified,"OMR 285,000Non Freehold",614 SQM,For Sale
الأرض للبيع مساحه ٢١٠٨ م,"Barka, Al Batinah•",Not specified,Not specified,Not specified,"OMR 50,000","2,108 SQM",For Sale
"شقة للبيع في جبل سيفة  Apartment for Sale with Direct sea view, Sifah","Al Sifah, Muscat•",2,2,Not specified,"OMR 95,000Freehold",124 SQM,For Sale
"ADVS1501** New Villa, Modern And Well Designed 4 BHK Villa For Sale in","Al Amarat, Muscat•",4,6,Not specified,"OMR 98,000Non Freehold",195 SQM,For Sale
2Bedroom Lake View Apartment for Sale in Hawana Salalah,"Salalah, Dhofar•",2,2,Not specified,"OMR 85,000Freehold",120 SQM,For Sale
Furnished 1-Bedroom Apartment for Sale in Hawana Salalah – Pool View,"Salalah, Dhofar•",1,1,Not specified,"OMR 50,000Freehold",55 SQM,For Sale
2BHK Penthouse Apartment with Stunning View – For Sale in Jebel Sifah,"Al Sifah, Muscat•",2,2,Not specified,"OMR 95,000Freehold",129 SQM,For Sale
"فيلا للبيع في مدينة السلطان هيثم | Villa For Sale, Sultan Haitham City","Al Seeb, Muscat•",4,3,Not specified,"OMR 175,000Freehold",333 SQM,For Sale
شقق للبيع في مدينة السلطان هيثم  Apartments for Sale in Sultan Haitham,"Sultan Haitham City, Muscat•",1,1,Not specified,"OMR 53,922Freehold",67 SQM,For Sale
2-Bedroom Apartment in Jebel Sifah   شقة غرفتين للبيع في جبل سيفة,"Al Sifah, Muscat•",2,2,Not specified,"OMR 73,000Negotiable",120 SQM,For Sale
Farm 2+1 Bedrooms in Jebel Sifah | شاليه غرفتين + عاملة في جبل سيفة,"Al Sifah, Muscat•",2,3,Not specified,"OMR 170,000Freehold",140 SQM,For Sale
"Live in Style: 2BR + Maid’s Room Apartment, Jebel Sifah","Al Sifah, Muscat•",2,2,Not specified,"OMR 110,000Freehold",124 SQM,For Sale
"Sifah Farm 2+1 Bed for sale, Jebel Sifah | شاليه للبيع في جبل سيفة","Al Sifah, Muscat•",2,3,Not specified,"OMR 190,000Freehold",990 SQM,For Sale
فيلا غرفتين للبيع في هوانا صلالة | Villa 2BHK in Hawana Salalah,"Salalah, Dhofar•",2,2,Not specified,"OMR 165,000Freehold",131 SQM,For Sale
2Bedroom Duplex Villa For Sale – Hawana Salalah,"Salalah, Dhofar•",2,2,Not specified,"OMR 135,000Freehold",124 SQM,For Sale
Furnished 4-Bedroom Twin-Storey Villa for Sale in Jebel Sifah,"Al Sifah, Muscat•",4,4,Not specified,"OMR 335,000Freehold",344 SQM,For Sale
Fully Furnished 2-Bedroom Villa for Sale in Hawana salalah,"Salalah, Dhofar•",2,2,Not specified,"OMR 160,000Freehold",131 SQM,For Sale
Townhouse for sale in Sultan Haitham تاون هاوس للبيع في مدينة السلطان,"Sultan Haitham City, Muscat•",3,3,Not specified,"OMR 111,700Freehold",194 SQM,For Sale
2 Bedrooms Sea View Villa Jebel Sifah | فيلا غرفتين على البحر جبل سيفة,"Al Sifah, Muscat•",2,2,Not specified,"OMR 265,000Freehold",129 SQM,For Sale
Courtyard Villa for Sale -  فيلا للبيع,"Yiti, Muscat•",3,5,Not specified,"OMR 238,000Negotiable",252 SQM,For Sale
Apartment for sale with 3 bedrooms- شقة للبيع بثلاث غرف,"Yiti, Muscat•",3,4,Not specified,"OMR 220,000Negotiable",164 SQM,For Sale
Apartment for sale with 2-Bedrooms شقة للبيع بغرفتين,"Yiti, Muscat•",2,3,Not specified,"OMR 132,000Negotiable",122 SQM,For Sale
Villa in Muscat for Sale فيلا للبيع في مسقط,"Yiti, Muscat•",4,6,Not specified,"OMR 468,000Negotiable",459 SQM,For Sale
Villa with 4 Bedrooms for Sale- فيلا بأربع غرف للبيع,"Yiti, Muscat•",4,5,Not specified,"OMR 517,000Negotiable",560 SQM,For Sale
2-Bedroom Apartment in Jebel Sifah   شقة غرفتين للبيع في جبل سيفة,"Al Sifah, Muscat•",2,2,Not specified,"OMR 73,000Negotiable",120 SQM,For Sale
Farm 2+1 Bedrooms in Jebel Sifah | شاليه غرفتين + عاملة في جبل سيفة,"Al Sifah, Muscat•",2,3,Not specified,"OMR 170,000Freehold",140 SQM,For Sale
"Live in Style: 2BR + Maid’s Room Apartment, Jebel Sifah","Al Sifah, Muscat•",2,2,Not specified,"OMR 110,000Freehold",124 SQM,For Sale
"Sifah Farm 2+1 Bed for sale, Jebel Sifah | شاليه للبيع في جبل سيفة","Al Sifah, Muscat•",2,3,Not specified,"OMR 190,000Freehold",990 SQM,For Sale
فيلا غرفتين للبيع في هوانا صلالة | Villa 2BHK in Hawana Salalah,"Salalah, Dhofar•",2,2,Not specified,"OMR 165,000Freehold",131 SQM,For Sale
2Bedroom Duplex Villa For Sale – Hawana Salalah,"Salalah, Dhofar•",2,2,Not specified,"OMR 135,000Freehold",124 SQM,For Sale
Furnished 4-Bedroom Twin-Storey Villa for Sale in Jebel Sifah,"Al Sifah, Muscat•",4,4,Not specified,"OMR 335,000Freehold",344 SQM,For Sale
Fully Furnished 2-Bedroom Villa for Sale in Hawana salalah,"Salalah, Dhofar•",2,2,Not specified,"OMR 160,000Freehold",131 SQM,For Sale
Townhouse for sale in Sultan Haitham تاون هاوس للبيع في مدينة السلطان,"Sultan Haitham City, Muscat•",3,3,Not specified,"OMR 111,700Freehold",194 SQM,For Sale
2 Bedrooms Sea View Villa Jebel Sifah | فيلا غرفتين على البحر جبل سيفة,"Al Sifah, Muscat•",2,2,Not specified,"OMR 265,000Freehold",129 SQM,For Sale
Marina-Facing 3-Bedroom Apartment for Sale – Al Mouj Muscat,"The Wave (Almouj), Muscat•",3,3,Not specified,"OMR 240,000Freehold",195 SQM,For Sale
Park View| Private Garden| Luxurious Amara 5BHK Villa in Jinan Island,"The Wave (Almouj), Muscat•",5,6,Not specified,"OMR 714,000Freehold",455 SQM,For Sale
توين فيلا بموقع ممتاز للبيع في العامرات مرتفعات 2,"Al Amarat, Muscat•",6,7,Not specified,"OMR 82,000Non Freehold",338 SQM,For Sale
