Title,Location,Bedrooms,Bathrooms,Garage,Price,Size,Listing_Type
3-BEDROOM APARTMENT,Bausher,3,N/A,SHADED,45000,N/A,For Sale
3-BEDROOM VILLA,Al Mawaleh,4,N/A,SHADED,290000,N/A,For Sale
6-BEDROOM TWIN VILLA,Bausher,7,N/A,SHADED,180000,N/A,For Sale
7-BEDROOM DETACHED VILLA,Al Ansab,9,N/A,SHADED,300000,758,For Sale
4-BEDROOM DETACHED VILLA,Al Hail,6,N/A,SHADED,80000,N/A,For Sale
5-BEDROOM TWIN VILLA,Al Ansab,7,N/A,UNSHADED,700,N/A,"For Rent, For Sale"
7-BEDROOM TWIN VILLA,N/A,8,N/A,SHADED,105000,573,For Sale
6+1 BEDROOM DETACHED VILLA,Bausher,7,N/A,SHADED,180,N/A,For Sale
4+1 BEDROOM COMPOUND VILLA,Al Khoudh,5,N/A,OUTSIDE,80000,260,For Sale
7-BEDROOM DETACHED VILLA,Al Ansab,9,N/A,SHADED,220,N/A,For Sale
4+1 TWIN VILLA,Shatti Al Qurum,5,N/A,SHADED,1000,N/A,"For Rent, For Sale"
6 BEDROOM DETACHED VILLA,Maabelah,8,N/A,N/A,200000,N/A,For Sale
3BEDROOM FURNISHED TWIN VILLA IN (AL KHOUD),Al Khoudh,4,N/A,N/A,105000,300,For Sale
FARM LAND FOR SALE IN (BARKA),Barka,N/A,N/A,N/A,170000,7502,For Sale
FARM LAND FOR SALE IN (BARKA),Barka,N/A,N/A,N/A,140000,5544,For Sale
FARM FOR SALE IN (BARKA),Barka,6,N/A,N/A,200000,6117,For Sale
9 BEDROOM DETACHED VILLA,Qurum,9,N/A,N/A,166000,405,For Sale
8 BEDROOM TWIN VILLA IN ( AL-HAIL NORTH ),Al Hail,9,N/A,yes,180000,520,For Sale
5 BEDROOM VILLA IN (QURUM),Qurum,5,N/A,2,175000,180,For Sale
6 BEDROOM VILLA IN (ALKHOUDH),Al Khoudh,8,N/A,2,145000,280,For Sale
5 BEDROOM VILLA IN (BAUSHER),Bausher,8,N/A,3,220000,350,For Sale
6 BEDROOM VILLA IN (BAUSHER),Bausher,7,N/A,N/A,220000,285,For Sale
5 BEDROOM TWINVILLA IN (AL ANSAB),Al Ansab,6,N/A,3,140000,500,For Sale
5 BEDROOM TWINVILLA IN (AL MAWALEH),Bausher,6,N/A,2,85000,N/A,For Sale
5 BEDROOM DETACHED VILLA IN ( AL ANSAB),Al Ansab,8,N/A,3,255000,660,For Sale
FURNISHED 5 BEDROOM VILLA IN ( MADINAT SULTAN QABOOS),Madinat Qaboos (MQ),6,N/A,2,185000,370,For Sale
5 BEDROOM TWIN-VILLA IN ( MAABELLAH),Maabelah,7,N/A,2,75000,300,For Sale
